customer_id,customer_name,age_group,home_region,signup_date,membership,marketing_opt_in
C0001,고객 001,40대,대구,2025-01-01,BASIC,True
C0002,고객 002,40대,서울,2025-02-02,BASIC,True
C0003,고객 003,40대,서울,2026-03-03,BASIC,True
C0004,고객 004,20대,부산,2025-04-04,BASIC,True
C0005,고객 005,30대,경기,2025-05-05,BASIC,True
C0006,고객 006,20대,대전,2026-06-06,BASIC,True
C0007,고객 007,20대,부산,2025-07-07,BASIC,False
C0008,고객 008,40대,부산,2025-08-08,BASIC,True
C0009,고객 009,20대,서울,2024-09-09,BASIC,True
C0010,고객 010,20대,서울,2024-10-10,BASIC,False
C0011,고객 011,40대,광주,2026-05-11,BASIC,True
C0012,고객 012,40대,서울,2026-06-12,BASIC,True
C0013,고객 013,40대,서울,2026-01-13,BASIC,True
C0014,고객 014,20대,서울,2026-02-14,BASIC,True
C0015,고객 015,20대,경기,2025-03-15,BASIC,False
C0016,고객 016,50대 이상,경기,2024-04-16,BASIC,True
C0017,고객 017,40대,서울,2025-05-17,BASIC,True
C0018,고객 018,30대,대전,2025-06-18,BASIC,True
C0019,고객 019,30대,부산,2025-07-19,BASIC,False
C0020,고객 020,30대,대구,2024-08-20,BASIC,True
C0021,고객 021,50대 이상,경기,2024-09-21,BASIC,True
C0022,고객 022,50대 이상,경기,2025-10-22,BASIC,False
C0023,고객 023,20대,경기,2025-11-23,BASIC,False
C0024,고객 024,50대 이상,서울,2025-12-24,BASIC,False
C0025,고객 025,30대,대구,2025-01-25,BASIC,True
C0026,고객 026,20대,부산,2024-02-26,BASIC,True
C0027,고객 027,20대,대구,2026-03-27,BASIC,False
C0028,고객 028,40대,부산,2026-04-28,BASIC,False
C0029,고객 029,50대 이상,경기,2025-05-01,BASIC,True
C0030,고객 030,30대,서울,2025-06-02,BASIC,True
C0031,고객 031,20대,서울,2026-01-03,BASIC,True
C0032,고객 032,30대,대구,2024-08-04,BASIC,False
C0033,고객 033,40대,서울,2025-09-05,BASIC,False
C0034,고객 034,40대,서울,2025-10-06,BASIC,True
C0035,고객 035,30대,서울,2024-11-07,BASIC,True
C0036,고객 036,20대,서울,2026-06-08,BASIC,False
C0037,고객 037,40대,경기,2024-01-09,BASIC,False
C0038,고객 038,30대,경기,2024-02-10,BASIC,True
C0039,고객 039,50대 이상,경기,2026-03-11,BASIC,True
C0040,고객 040,30대,대전,2025-04-12,BASIC,True
C0041,고객 041,30대,서울,2025-05-13,BASIC,True
C0042,고객 042,30대,대구,2026-06-14,BASIC,False
C0043,고객 043,50대 이상,경기,2025-07-15,BASIC,True
C0044,고객 044,40대,서울,2026-02-16,BASIC,True
C0045,고객 045,20대,경기,2024-09-17,BASIC,True
C0046,고객 046,50대 이상,대전,2026-04-18,BASIC,False
C0047,고객 047,20대,서울,2025-11-19,BASIC,False
C0048,고객 048,40대,대전,2024-12-20,BASIC,True
C0049,고객 049,40대,서울,2025-01-21,BASIC,True
C0050,고객 050,30대,서울,2024-02-22,BASIC,True
C0051,고객 051,20대,광주,2025-03-23,BASIC,False
C0052,고객 052,30대,대전,2025-04-24,BASIC,True
C0053,고객 053,30대,서울,2024-05-25,BASIC,True
C0054,고객 054,50대 이상,대전,2025-06-26,BASIC,True
C0055,고객 055,20대,부산,2025-07-27,BASIC,False
C0056,고객 056,40대,서울,2024-08-28,BASIC,True
C0057,고객 057,30대,서울,2025-09-01,BASIC,False
C0058,고객 058,40대,서울,2025-10-02,BASIC,False
C0059,고객 059,50대 이상,서울,2026-05-03,BASIC,False
C0060,고객 060,30대,경기,2026-06-04,BASIC,True
C0061,고객 061,40대,대전,2025-01-05,BASIC,False
C0062,고객 062,20대,서울,2025-02-06,BASIC,True
C0063,고객 063,50대 이상,대전,2025-03-07,BASIC,False
C0064,고객 064,30대,경기,2026-04-08,BASIC,True
C0065,고객 065,40대,부산,2025-05-09,BASIC,True
C0066,고객 066,20대,서울,2026-06-10,BASIC,False
C0067,고객 067,30대,서울,2025-07-11,BASIC,False
C0068,고객 068,50대 이상,부산,2026-02-12,BASIC,True
C0069,고객 069,50대 이상,경기,2024-09-13,BASIC,True
C0070,고객 070,30대,경기,2026-04-14,BASIC,False
C0071,고객 071,50대 이상,대구,2025-11-15,BASIC,True
C0072,고객 072,20대,서울,2026-06-16,BASIC,False
C0073,고객 073,50대 이상,경기,2025-01-17,BASIC,True
C0074,고객 074,50대 이상,부산,2025-02-18,BASIC,True
C0075,고객 075,30대,서울,2024-03-19,BASIC,False
C0076,고객 076,40대,광주,2024-04-20,BASIC,False
C0077,고객 077,40대,부산,2024-05-21,BASIC,True
C0078,고객 078,40대,부산,2024-06-22,BASIC,False
C0079,고객 079,30대,서울,2026-01-23,BASIC,True
C0080,고객 080,50대 이상,부산,2024-08-24,BASIC,True
C0081,고객 081,30대,대전,2025-09-25,BASIC,True
C0082,고객 082,50대 이상,광주,2026-04-26,BASIC,True
C0083,고객 083,20대,서울,2024-11-27,BASIC,True
C0084,고객 084,50대 이상,서울,2025-12-28,BASIC,False
C0085,고객 085,40대,대구,2025-01-01,BASIC,True
C0086,고객 086,30대,서울,2026-02-02,BASIC,False
C0087,고객 087,40대,서울,2025-03-03,BASIC,True
C0088,고객 088,30대,부산,2025-04-04,BASIC,True
C0089,고객 089,20대,서울,2026-05-05,BASIC,True
C0090,고객 090,20대,광주,2024-06-06,BASIC,False
C0091,고객 091,50대 이상,서울,2026-01-07,BASIC,False
C0092,고객 092,20대,경기,2026-02-08,BASIC,True
C0093,고객 093,40대,대구,2025-09-09,BASIC,False
C0094,고객 094,20대,서울,2026-04-10,BASIC,True
C0095,고객 095,40대,대구,2025-11-11,BASIC,True
C0096,고객 096,30대,경기,2025-12-12,BASIC,False
C0097,고객 097,40대,서울,2026-01-13,BASIC,False
C0098,고객 098,20대,서울,2024-02-14,BASIC,True
C0099,고객 099,30대,서울,2024-03-15,BASIC,True
C0100,고객 100,20대,대구,2024-04-16,BASIC,False
C0101,고객 101,20대,부산,2026-05-17,BASIC,True
C0102,고객 102,30대,광주,2025-06-18,BASIC,True
C0103,고객 103,20대,광주,2025-07-19,BASIC,False
C0104,고객 104,30대,경기,2024-08-20,BASIC,True
C0105,고객 105,20대,경기,2025-09-21,BASIC,False
C0106,고객 106,40대,서울,2024-10-22,BASIC,True
C0107,고객 107,20대,대전,2024-11-23,BASIC,False
C0108,고객 108,40대,대전,2026-06-24,BASIC,True
C0109,고객 109,40대,부산,2025-01-25,BASIC,False
C0110,고객 110,30대,경기,2026-02-26,BASIC,True
C0111,고객 111,30대,대전,2024-03-27,BASIC,True
C0112,고객 112,50대 이상,대전,2025-04-28,BASIC,True
C0113,고객 113,50대 이상,서울,2024-05-01,BASIC,True
C0114,고객 114,40대,서울,2024-06-02,BASIC,False
C0115,고객 115,50대 이상,경기,2024-07-03,BASIC,True
C0116,고객 116,30대,서울,2025-08-04,BASIC,True
C0117,고객 117,50대 이상,서울,2024-09-05,BASIC,True
C0118,고객 118,30대,경기,2025-10-06,BASIC,True
C0119,고객 119,40대,부산,2026-05-07,BASIC,False
C0120,고객 120,20대,대구,2025-12-08,BASIC,True
C0121,고객 121,30대,경기,2025-01-09,BASIC,True
C0122,고객 122,30대,경기,2026-02-10,BASIC,True
