order_id,customer_id,order_date,product_id,product_name,category,price,quantity,discount,payment_method,region,channel,record_status
ORD000001,C0291,2026-07-16,A004,토트백,패션,32000,5,0.0,카드,부산,Web,verified
ORD000002,C0254,2026-07-31,A003,캡,패션,25000,1,0.0,카드,서울,Web,verified
ORD000003,C0223,2026-07-05,S004,플래너,문구,12000,7,0.05,기타,서울,App,verified
ORD000004,C0074,2026-07-12,E002,마우스,전자기기,29000,3,0.05,카카오페이, 경기 ,App,verified
ORD000005,C0049,2026-07-02,E005,USB 허브,전자기기,39000,5,0.05,네이버페이,경기,Web,verified
ORD000006,C0045,2026-07-19,F006,견과류,식품,13000,3,0.1,카드,경기,App,verified
ORD000007,C0222,2026-07-18,E001,키보드,전자기기,49000,1,0.0,카카오페이,대전,App,verified
ORD000008,C0278,2026-07-22,E001,키보드,전자기기,49000,2,0.05,카드,서울,Web,verified
ORD000009,C0260,2026-07-21,E001,키보드,전자기기,49000,1,0.0,카드,경기,App,verified
ORD000010,C0152,2026-07-01,S001,노트,문구,4500,3,0.2,카카오페이,서울,Web,verified
ORD000011,C0246,2026-07-29,L002,데스크 램프,생활,39000,2,0.0,카드,서울,Web,verified
ORD000012,C0219,2026-07-31,F003,스낵 세트,식품,15000,2,0.0,카드,서울,App,verified
ORD000013,C0263,2026-07-10,E002,마우스,전자기기,29000,3,0.0,카카오페이,서울,App,verified
ORD000014,C0182,2026-07-03,S005,바인더,문구,6500,4,0.0,네이버페이,서울,App,verified
ORD000015,C0243,2026-07-02,F004,그래놀라,식품,11000,1,0.0,네이버페이,서울,Web,verified
ORD000016,C0220,2026-07-31,A001,티셔츠,패션,29000,4,0.1,계좌이체,서울,Web,verified
ORD000017,C0297,2026-07-16,E004,웹캠,전자기기,89000,5,,카드,서울,App,verified
ORD000018,C0150,2026-07-20,F002,티 세트,식품,12000,3,0.1,카드,대전,Web,verified
ORD000019,C0110,2026-07-06,F003,스낵 세트,식품,15000,2,0.0,계좌이체,경기,Web,verified
ORD000020,C0110,2026-07-03,L005,쿠션,생활,35000,2,0.0,카드,경기,App,verified
ORD000021,C0046,2026-07-09,L006,머그컵,생활,14000,4,0.0,계좌이체,서울,Web,verified
ORD000022,C0018,2026-07-02,S001,노트,문구,4500,8,0.0,카드,경기,App,verified
ORD000023,C0257,2026-07-23,E003,모니터,전자기기,239000,1,,카드,경기,App,verified
ORD000024,C0273,2026-07-09,S001,노트,문구,4500,8,0.0,기타,부산,Web,verified
ORD000025,C0028,2026-07-06,A004,토트백,패션,32000,5,0.0,카드,대구,App,verified
ORD000026,C0279,2026-07-14,F002,티 세트,식품,12000,3,0.1,계좌이체,서울,Web,verified
ORD000027,C0094,2026-07-28,F005,초콜릿,식품,8000,1,0.0,카카오페이,부산,App,verified
