buyer_id,buyer_name,buyer_segment,home_store,signup_date,marketing_opt_in
B0001,구매자 001,NEW,Store C,2024-01-01,True
B0002,구매자 002,NEW,Store A,2025-02-02,True
B0003,구매자 003,NEW,Store A,2026-03-03,False
B0004,구매자 004,NEW,Store A,2024-04-04,False
B0005,구매자 005,NEW,Store B,2025-05-05,False
B0006,구매자 006,NEW,Store C,2026-06-06,True
B0007,구매자 007,NEW,Store C,2024-07-07,True
B0008,구매자 008,NEW,Store B,2025-08-08,True
B0009,구매자 009,NEW,Store B,2026-09-09,True
B0010,구매자 010,NEW,Store A,2024-10-10,False
B0011,구매자 011,NEW,Store C,2025-11-11,False
B0012,구매자 012,NEW,Store C,2026-12-12,True
B0013,구매자 013,NEW,Store A,2024-01-13,True
B0014,구매자 014,NEW,Store B,2025-02-14,False
B0015,구매자 015,NEW,Store A,2026-03-15,True
B0016,구매자 016,NEW,Store B,2024-04-16,True
B0017,구매자 017,NEW,Store C,2025-05-17,True
B0018,구매자 018,NEW,Store B,2026-06-18,True
B0019,구매자 019,NEW,Store A,2024-07-19,False
B0020,구매자 020,NEW,Store A,2025-08-20,False
B0021,구매자 021,NEW,Store A,2026-09-21,False
B0022,구매자 022,NEW,Store C,2024-10-22,False
B0023,구매자 023,NEW,Store C,2025-11-23,True
B0024,구매자 024,NEW,Store C,2026-12-24,True
B0025,구매자 025,NEW,Store A,2024-01-25,False
B0026,구매자 026,NEW,Store A,2025-02-26,True
B0027,구매자 027,NEW,Store C,2026-03-27,False
B0028,구매자 028,NEW,Store C,2024-04-28,False
B0029,구매자 029,NEW,Store C,2025-05-01,True
B0030,구매자 030,NEW,Store A,2026-06-02,True
B0031,구매자 031,NEW,Store B,2024-07-03,True
B0032,구매자 032,NEW,Store C,2025-08-04,False
B0033,구매자 033,NEW,Store C,2026-09-05,False
B0034,구매자 034,NEW,Store C,2024-10-06,True
B0035,구매자 035,NEW,Store C,2025-11-07,False
B0036,구매자 036,NEW,Store A,2026-12-08,False
B0037,구매자 037,NEW,Store A,2024-01-09,False
B0038,구매자 038,NEW,Store B,2025-02-10,True
B0039,구매자 039,NEW,Store A,2026-03-11,True
B0040,구매자 040,NEW,Store C,2024-04-12,True
B0041,구매자 041,NEW,Store A,2025-05-13,True
B0042,구매자 042,NEW,Store A,2026-06-14,True
B0043,구매자 043,NEW,Store B,2024-07-15,True
B0044,구매자 044,NEW,Store A,2025-08-16,False
B0045,구매자 045,NEW,Store A,2026-09-17,True
B0046,구매자 046,NEW,Store C,2024-10-18,False
B0047,구매자 047,NEW,Store A,2025-11-19,True
B0048,구매자 048,NEW,Store A,2026-12-20,True
B0049,구매자 049,NEW,Store C,2024-01-21,True
B0050,구매자 050,NEW,Store C,2025-02-22,True
B0051,구매자 051,NEW,Store B,2026-03-23,False
B0052,구매자 052,NEW,Store A,2024-04-24,False
B0053,구매자 053,NEW,Store C,2025-05-25,False
B0054,구매자 054,NEW,Store C,2026-06-26,True
B0055,구매자 055,NEW,Store B,2024-07-27,True
B0056,구매자 056,NEW,Store A,2025-08-28,True
B0057,구매자 057,NEW,Store A,2026-09-01,True
B0058,구매자 058,NEW,Store C,2024-10-02,False
B0059,구매자 059,NEW,Store C,2025-11-03,False
B0060,구매자 060,NEW,Store B,2026-12-04,True
B0061,구매자 061,NEW,Store B,2024-01-05,True
B0062,구매자 062,NEW,Store A,2025-02-06,False
B0063,구매자 063,NEW,Store A,2026-03-07,False
B0064,구매자 064,NEW,Store C,2024-04-08,True
B0065,구매자 065,NEW,Store A,2025-05-09,True
B0066,구매자 066,NEW,Store B,2026-06-10,True
B0067,구매자 067,NEW,Store A,2024-07-11,False
B0068,구매자 068,NEW,Store A,2025-08-12,True
B0069,구매자 069,NEW,Store B,2026-09-13,True
B0070,구매자 070,NEW,Store A,2024-10-14,True
B0071,구매자 071,NEW,Store A,2025-11-15,True
B0072,구매자 072,NEW,Store C,2026-12-16,False
B0073,구매자 073,NEW,Store C,2024-01-17,False
B0074,구매자 074,NEW,Store C,2025-02-18,True
B0075,구매자 075,NEW,Store A,2026-03-19,False
B0076,구매자 076,NEW,Store A,2024-04-20,False
B0077,구매자 077,NEW,Store C,2025-05-21,True
B0078,구매자 078,NEW,Store C,2026-06-22,True
B0079,구매자 079,NEW,Store C,2024-07-23,True
B0080,구매자 080,NEW,Store A,2025-08-24,True
B0081,구매자 081,NEW,Store C,2026-09-25,True
B0082,구매자 082,NEW,Store A,2024-10-26,False
B0083,구매자 083,NEW,Store A,2025-11-27,True
B0084,구매자 084,NEW,Store A,2026-12-28,True
B0085,구매자 085,NEW,Store A,2024-01-01,True
B0086,구매자 086,NEW,Store A,2025-02-02,False
B0087,구매자 087,NEW,Store B,2026-03-03,False
B0088,구매자 088,NEW,Store A,2024-04-04,True
B0089,구매자 089,NEW,Store C,2025-05-05,True
B0090,구매자 090,NEW,Store C,2026-06-06,True
B0091,구매자 091,REGULAR,Store A,2024-07-07,True
B0092,구매자 092,REGULAR,Store A,2025-08-08,True
B0093,구매자 093,REGULAR,Store A,2026-09-09,True
B0094,구매자 094,REGULAR,Store A,2024-10-10,True
B0095,구매자 095,REGULAR,Store A,2025-11-11,False
B0096,구매자 096,REGULAR,Store A,2026-12-12,False
B0097,구매자 097,REGULAR,Store A,2024-01-13,False
B0098,구매자 098,REGULAR,Store A,2025-02-14,True
B0099,구매자 099,REGULAR,Store B,2026-03-15,False
B0100,구매자 100,REGULAR,Store A,2024-04-16,False
B0101,구매자 101,REGULAR,Store B,2025-05-17,True
B0102,구매자 102,REGULAR,Store B,2026-06-18,False
B0103,구매자 103,REGULAR,Store B,2024-07-19,True
B0104,구매자 104,REGULAR,Store B,2025-08-20,False
B0105,구매자 105,REGULAR,Store C,2026-09-21,False
B0106,구매자 106,REGULAR,Store B,2024-10-22,False
B0107,구매자 107,REGULAR,Store A,2025-11-23,False
B0108,구매자 108,REGULAR,Store A,2026-12-24,False
B0109,구매자 109,REGULAR,Store C,2024-01-25,False
B0110,구매자 110,REGULAR,Store A,2025-02-26,True
B0111,구매자 111,REGULAR,Store B,2026-03-27,True
B0112,구매자 112,REGULAR,Store B,2024-04-28,True
B0113,구매자 113,REGULAR,Store B,2025-05-01,True
B0114,구매자 114,REGULAR,Store C,2026-06-02,True
B0115,구매자 115,REGULAR,Store C,2024-07-03,True
B0116,구매자 116,REGULAR,Store C,2025-08-04,True
B0117,구매자 117,REGULAR,Store C,2026-09-05,False
B0118,구매자 118,REGULAR,Store B,2024-10-06,True
B0119,구매자 119,REGULAR,Store C,2025-11-07,True
B0120,구매자 120,REGULAR,Store A,2026-12-08,True
B0121,구매자 121,REGULAR,Store C,2024-01-09,False
B0122,구매자 122,REGULAR,Store B,2025-02-10,True
B0123,구매자 123,REGULAR,Store A,2026-03-11,False
B0124,구매자 124,REGULAR,Store B,2024-04-12,False
B0125,구매자 125,REGULAR,Store B,2025-05-13,True
B0126,구매자 126,REGULAR,Store C,2026-06-14,True
B0127,구매자 127,REGULAR,Store A,2024-07-15,True
B0128,구매자 128,REGULAR,Store B,2025-08-16,True
B0129,구매자 129,REGULAR,Store A,2026-09-17,False
B0130,구매자 130,REGULAR,Store A,2024-10-18,True
B0131,구매자 131,REGULAR,Store A,2025-11-19,False
B0132,구매자 132,REGULAR,Store C,2026-12-20,True
B0133,구매자 133,REGULAR,Store A,2024-01-21,False
B0134,구매자 134,REGULAR,Store A,2025-02-22,False
B0135,구매자 135,REGULAR,Store C,2026-03-23,True
B0136,구매자 136,REGULAR,Store B,2024-04-24,False
B0137,구매자 137,REGULAR,Store B,2025-05-25,False
B0138,구매자 138,REGULAR,Store B,2026-06-26,True
B0139,구매자 139,REGULAR,Store B,2024-07-27,True
B0140,구매자 140,REGULAR,Store A,2025-08-28,True
B0141,구매자 141,REGULAR,Store A,2026-09-01,True
B0142,구매자 142,REGULAR,Store C,2024-10-02,False
B0143,구매자 143,REGULAR,Store B,2025-11-03,True
B0144,구매자 144,REGULAR,Store A,2026-12-04,True
B0145,구매자 145,REGULAR,Store A,2024-01-05,False
B0146,구매자 146,REGULAR,Store A,2025-02-06,True
B0147,구매자 147,REGULAR,Store A,2026-03-07,True
B0148,구매자 148,REGULAR,Store A,2024-04-08,True
B0149,구매자 149,REGULAR,Store B,2025-05-09,True
B0150,구매자 150,REGULAR,Store A,2026-06-10,False
B0151,구매자 151,CORE,Store A,2024-07-11,False
B0152,구매자 152,CORE,Store A,2025-08-12,False
B0153,구매자 153,CORE,Store C,2026-09-13,False
B0154,구매자 154,CORE,Store A,2024-10-14,True
B0155,구매자 155,CORE,Store A,2025-11-15,True
B0156,구매자 156,CORE,Store A,2026-12-16,True
B0157,구매자 157,CORE,Store A,2024-01-17,False
B0158,구매자 158,CORE,Store C,2025-02-18,True
B0159,구매자 159,CORE,Store B,2026-03-19,True
B0160,구매자 160,CORE,Store B,2024-04-20,True
B0161,구매자 161,CORE,Store C,2025-05-21,True
B0162,구매자 162,CORE,Store C,2026-06-22,True
B0163,구매자 163,CORE,Store C,2024-07-23,True
B0164,구매자 164,CORE,Store A,2025-08-24,True
B0165,구매자 165,CORE,Store B,2026-09-25,True
B0166,구매자 166,CORE,Store B,2024-10-26,True
B0167,구매자 167,CORE,Store C,2025-11-27,True
B0168,구매자 168,CORE,Store B,2026-12-28,True
B0169,구매자 169,CORE,Store A,2024-01-01,True
B0170,구매자 170,CORE,Store A,2025-02-02,True
B0171,구매자 171,CORE,Store A,2026-03-03,True
B0172,구매자 172,CORE,Store C,2024-04-04,True
B0173,구매자 173,CORE,Store B,2025-05-05,False
B0174,구매자 174,CORE,Store A,2026-06-06,False
B0175,구매자 175,CORE,Store C,2024-07-07,False
B0176,구매자 176,CORE,Store B,2025-08-08,True
B0177,구매자 177,CORE,Store C,2026-09-09,False
B0178,구매자 178,CORE,Store B,2024-10-10,True
B0179,구매자 179,CORE,Store B,2025-11-11,True
B0180,구매자 180,CORE,Store A,2026-12-12,True
