sale_id,buyer_id,sold_at,item_id,item,item_group,unit_price,units,coupon_rate,store,payment,record_status
SALE000001,B0165,2026/08/05,UA01,코튼 티셔츠,FASHION,32000,1,0.15,Store C,Bank Transfer,verified
SALE000002,B0041,2026/08/08,US03,위클리 플래너,STATIONERY,15000,3,0.0,Store A,Card,verified
SALE000003,B0158,2026/08/10,UL02,보온 텀블러,LIFESTYLE,24000,1,0.0,Store C,Bank Transfer,verified
SALE000004,B0114,2026/08/06,UF04,허브티 세트,FOOD,10000,5,0.0,Store A,Bank Transfer,verified
SALE000005,B0112,2026/08/04,US02,젤펜 세트,STATIONERY,7000,2,0.0,Store A,Card,verified
SALE000006,B0137,2026/08/09,UA02,후드 집업,FASHION,69000,1,0.15,Store B,Card,verified
SALE000007,B0003,2026/08/05,UA01,코튼 티셔츠,FASHION,32000,2,0.15,Store C,Card,verified
SALE000008,B0168,2026/08/05,UT01,무선 키보드,TECH,59000,1,0.0,Store C,Card,verified
SALE000009,B0167,2026/08/10,UA01,코튼 티셔츠,FASHION,32000,1,0.15,Store B,Card,verified
SALE000010,B0015,2026/08/02,UA01,코튼 티셔츠,FASHION,32000,2,0.15,Store C,Bank Transfer,verified
SALE000011,B0030,2026/08/02,UT01,무선 키보드,TECH,59000,1,0.0,Store B,Other,verified
SALE000012,B0057,2026/08/10,UF03,견과 믹스,FOOD,15000,2,0.05,Store A,Other,verified
SALE000013,B0131,2026/08/06,UA02,후드 집업,FASHION,69000,1,0.15,Store A,Bank Transfer,verified
SALE000014,B0140,2026/08/08,UL04,수납 바구니,LIFESTYLE,18000,1,0.0,Store B,Bank Transfer,verified
SALE000015,B0080,2026/08/06,UA02,후드 집업,FASHION,69000,1,0.15,Store A,KakaoPay,verified
SALE000016,B0127,2026/08/03,UF01,드립백 커피,FOOD,18000,3,0.1,Store B,Card,verified
SALE000017,B0012,2026/08/06,UF03,견과 믹스,FOOD,15000,2,0.05,Store A,Card,verified
SALE000018,B0066,2026/08/02,US02,젤펜 세트,STATIONERY,7000,2,0.0,Store C,Bank Transfer,verified
SALE000019,B0151,2026/08/04,UT05,노이즈캔슬링 이어폰,TECH,139000,1,0.0,Store B,Bank Transfer,verified
SALE000020,B0107,2026/08/03,UL05,소파 쿠션,LIFESTYLE,35000,2,0.0,Store A,KakaoPay,verified
SALE000021,B0113,2026/08/02,UF02,그래놀라 팩,FOOD,12000,1,0.0,Store C,KakaoPay,verified
SALE000022,B0111,2026/08/08,UF02,그래놀라 팩,FOOD,12000,1,0.0,Store C,Other,verified
SALE000023,B0178,2026/08/07,UL03,우드 디퓨저,LIFESTYLE,32000,1,0.0,Store A,KakaoPay,verified
SALE000024,B0006,2026/08/06,UF04,허브티 세트,FOOD,10000,1,0.0,Store C,Card,verified
SALE000025,B0020,2026/08/01,UF03,견과 믹스,FOOD,15000,2,0.05,Store B,Card,verified
SALE000026,B0050,2026/08/02,US03,위클리 플래너,STATIONERY,15000,4,0.0,Store B,Card,verified
SALE000027,B0120,2026/08/06,UF01,드립백 커피,FOOD,18000,1,0.2,Store C,KakaoPay,verified
SALE000028,B0023,2026/08/09,US03,위클리 플래너,STATIONERY,15000,1,0.0,Store C,Other,verified
SALE000029,B0102,2026/08/07,UF02,그래놀라 팩,FOOD,12000,1,0.0,Store A,KakaoPay,verified
SALE000030,B0155,2026/08/10,UT04,USB-C 허브,TECH,55000,1,0.0,Store C,Other,verified
SALE000031,B0114,2026/08/01,UT04,USB-C 허브,TECH,55000,1,0.0,Store A,Bank Transfer,verified
SALE000032,B0152,2026/08/04,UL05,소파 쿠션,LIFESTYLE,35000,4,,Store B,Card,verified
SALE000033,B0078,2026/08/04,US05,파일 홀더,STATIONERY,9000,2,0.1,Store C,Bank Transfer,verified
SALE000034,B0110,2026/08/06,UF04,허브티 세트,FOOD,10000,5,0.0,Store A,Card,verified
SALE000035,B0154,2026/08/04,UL03,우드 디퓨저,LIFESTYLE,32000,1,0.0,Store C,KakaoPay,verified
SALE000036,B0008,2026/08/07,UF03,견과 믹스,FOOD,15000,2,0.05,Store A,Card,verified
SALE000037,B0064,2026/08/07,UF04,허브티 세트,FOOD,10000,5,0.0,Store A,Other,verified
SALE000038,B0033,2026/08/02,US04,마스킹 테이프,STATIONERY,6000,1,0.1,Store A,Card,verified
SALE000039,B0161,2026/08/08,UL03,우드 디퓨저,LIFESTYLE,32000,1,0.0,Store B,KakaoPay,verified
SALE000040,B0101,2026/08/02,UL02,보온 텀블러,LIFESTYLE,24000,4,,Store A,Card,verified
SALE000041,B0173,2026/08/08,UA04,볼캡,FASHION,26000,2,0.1,Store A,Card,verified
SALE000042,B0011,2026/08/03,US01,하드커버 노트,STATIONERY,8000,2,0.0,Store A,KakaoPay,verified
SALE000043,B0162,2026/08/01,UA05,데일리 스니커즈,FASHION,119000,4,0.05,Store B,KakaoPay,verified
SALE000044,B0062,2026/08/05,US01,하드커버 노트,STATIONERY,8000,2,0.0,Store B,Card,verified
SALE000045,B0151,2026/08/02,UL03,우드 디퓨저,LIFESTYLE,32000,1,0.0,Store A,Card,verified
SALE000046,B0173,2026/08/07,UF03,견과 믹스,FOOD,15000,1,0.0,Store C,Bank Transfer,verified
SALE000047,B0007,2026/08/07,US03,위클리 플래너,STATIONERY,15000,3,0.0,Store C,Card,verified
SALE000048,B0037,2026/08/03,UF03,견과 믹스,FOOD,15000,2,0.05,Store A,Card,verified
SALE000049,B0156,2026/08/04,UF01,드립백 커피,FOOD,18000,3,0.1,Store C,Card,verified
SALE000050,B0094,2026/08/05,UA05,데일리 스니커즈,FASHION,119000,1,0.2,Store C,Other,verified
SALE000051,B0163,2026/08/07,UA04,볼캡,FASHION,26000,2,0.1,Store C,Card,verified
SALE000052,B0052,2026/08/02,UL03,우드 디퓨저,LIFESTYLE,32000,1,0.0,Store B,Card,verified
SALE000053,B0128,2026/08/09,UL04,수납 바구니,LIFESTYLE,18000,2,0.0,Store C,Bank Transfer,verified
SALE000054,B0004,2026/08/01,UF04,허브티 세트,FOOD,10000,1,0.0,Store C,Other,verified
SALE000055,B9001,2026/08/03,US04,마스킹 테이프,STATIONERY,6000,1,0.1,Store B,Bank Transfer,verified
SALE000056,B0037,2026/08/06,UA04,볼캡,FASHION,26000,2,0.1,Store C,Card,verified
SALE000057,B0050,2026/08/05,US02,젤펜 세트,STATIONERY,7000,2,0.0,Store A,Card,verified
SALE000058,B0070,2026/08/10,US04,마스킹 테이프,STATIONERY,6000,1,0.1,Store C,Card,verified
SALE000059,B0004,2026/08/03,US02,젤펜 세트,STATIONERY,7000,2,0.0,Store C,Card,verified
SALE000060,B0174,2026/08/09,UF01,드립백 커피,FOOD,18000,3,0.1,Store A,Other,verified
SALE000061,B0155,2026/08/03,UL04,수납 바구니,LIFESTYLE,18000,2,0.0,Store A,KakaoPay,verified
SALE000062,B0029,2026/08/08,UF02,그래놀라 팩,FOOD,12000,1,0.0,Store A,Other,verified
SALE000063,B0111,2026/08/09,UL04,수납 바구니,LIFESTYLE,18000,2,0.0,Store B,KakaoPay,verified
SALE000064,B0121,2026/08/04,UA02,후드 집업,FASHION,69000,1,0.15,Store C,KakaoPay,verified
SALE000065,B0127,2026/08/09,UT02,버티컬 마우스,TECH,49000,1,0.0,Store B,Other,verified
SALE000066,B0038,2026/08/10,UL02,보온 텀블러,LIFESTYLE,24000,1,0.0,Store A,Bank Transfer,verified
SALE000067,B0115,2026/08/06,UA03,캔버스 에코백,FASHION,28000,2,0.0,Store C,Card,verified
SALE000068,B0119,2026/08/07,US04,마스킹 테이프,STATIONERY,6000,1,0.1,Store B,Card,verified
SALE000069,B0061,2026/08/05,US05,파일 홀더,STATIONERY,9000,2,0.1,Store B,Bank Transfer,verified
SALE000070,B0047,2026/08/07,US02,젤펜 세트,STATIONERY,7000,2,0.0,Store C,KakaoPay,verified
SALE000071,B0070,2026/08/06,US01,하드커버 노트,STATIONERY,8000,2,0.0,Store A,Card,verified
SALE000072,B0117,2026/08/08,UF05,쿠키 박스,FOOD,22000,4,0.0,Store B,Card,verified
SALE000073,B0168,2026/08/03,UT03,FHD 웹캠,TECH,89000,1,0.05,Store B,Card,verified
SALE000074,B0158,2026/08/03,UA04,볼캡,FASHION,26000,2,0.1,Store C,KakaoPay,verified
SALE000075,B0105,2026/08/06,UL02,보온 텀블러,LIFESTYLE,24000,4,,Store A,Card,verified
SALE000076,B0106,2026/08/04,UT01,무선 키보드,TECH,59000,1,0.0,Store C,Bank Transfer,verified
SALE000077,B0063,2026/08/10,UF02,그래놀라 팩,FOOD,12000,1,0.0,Store C,Card,verified
SALE000078,B0062,2026/08/01,UL04,수납 바구니,LIFESTYLE,18000,1,0.1,Store C,Card,verified
SALE000079,B0096,2026/08/04,US05,파일 홀더,STATIONERY,9000,5,0.1,Store C,Card,verified
SALE000080,B0125,2026/08/10,US03,위클리 플래너,Stationery,15000,4,0.0,Store A,Card,verified
SALE000081,B0046,2026/08/03,UL01,무드등,LIFESTYLE,39000,3,0.0,Store C,KakaoPay,verified
SALE000082,B0129,2026/08/08,US01,하드커버 노트,STATIONERY,8000,2,0.0,Store A,Card,verified
SALE000083,B0072,2026/08/10,US02,젤펜 세트,STATIONERY,7000,2,0.0,Store C,Other,verified
SALE000084,B0109,2026/08/08,US01,하드커버 노트,Stationery,8000,2,0.0,Store A,Card,verified
SALE000085,B0151,2026/08/08,UL01,무드등,LIFESTYLE,39000,3,0.0,Store B,KakaoPay,verified
